gempermid,holddate,shareshldadj,shareshld,pctshouthld,shshldchg,comname,name,activity,close_
21475781922,2013-06-28T00:00:00Z,1454400,1454400,10.2,1454400,Gamecard-Joyco Holdings Ord Shs,Tower Investment Management,buy,1503
21478615204,2017-11-06T00:00:00Z,1604100,1604100,5.145,1604100,W-Scope Ord Shs,Taiyo Fund Management,buy,2060
21478615204,2017-11-16T00:00:00Z,1942700,1942700,6.2311,338600,W-Scope Ord Shs,Taiyo Fund Management,buy,2156
21478615204,2017-11-22T00:00:00Z,2305800,2305800,7.3957,363100,W-Scope Ord Shs,Taiyo Fund Management,buy,2063
21478615204,2017-12-05T00:00:00Z,2641800,2641800,8.468,336e3,W-Scope Ord Shs,Taiyo Fund Management,buy,2081
21478615204,2017-12-21T00:00:00Z,2954400,2954400,9.47,312600,W-Scope Ord Shs,Taiyo Fund Management,buy,2186
21478615204,2018-03-28T00:00:00Z,3297200,3297200,10.5681,342800,W-Scope Ord Shs,Taiyo Fund Management,buy,1409
21478615204,2018-04-09T00:00:00Z,3619600,3619600,11.6014,322400,W-Scope Ord Shs,Taiyo Fund Management,buy,1546
21478615204,2018-05-01T00:00:00Z,3937800,3937800,12.6213,318200,W-Scope Ord Shs,Taiyo Fund Management,buy,1661
21478615204,2018-05-14T00:00:00Z,4291900,4291900,13.7563,354100,W-Scope Ord Shs,Taiyo Fund Management,buy,1855
21478615204,2018-05-28T00:00:00Z,4620800,4620800,14.8104,328900,W-Scope Ord Shs,Taiyo Fund Management,buy,1837
21478615204,2018-05-29T00:00:00Z,4646800,4646800,14.8938,26e3,W-Scope Ord Shs,Taiyo Fund Management,buy,1813
21504190004,2012-06-22T00:00:00Z,577e3,577e3,10.16,577e3,Ohizumi MFG Ord Shs,Taiyo Fund Management,buy,381
21504190004,2013-12-12T00:00:00Z,519800,519800,9.16,-57200,Ohizumi MFG Ord Shs,Taiyo Fund Management,sell,236
21504190004,2013-12-26T00:00:00Z,362e3,362e3,6.38,-157800,Ohizumi MFG Ord Shs,Taiyo Fund Management,sell,234
21504190004,2013-12-30T00:00:00Z,581e3,581e3,10.24,-143e3,Ohizumi MFG Ord Shs,Taiyo Fund Management,sell,223
21504190004,2014-01-07T00:00:00Z,453e3,453e3,7.82,-128e3,Ohizumi MFG Ord Shs,Taiyo Fund Management,sell,214
21510998599,2014-09-30T00:00:00Z,704500,704500,5.37,704500,Astmax Ord Shs,Dalton Investments,buy,295
