gempermid,holddate,shareshldadj,shareshld,pctshouthld,shshldchg,comname,name,activity
8589935990,2005-08-31T00:00:00Z,67400,337e3,6.65,337e3,Mikikogyo Ord Shs,Tower Investment Management,buy
8589936010,2006-12-31T00:00:00Z,341e3,341e3,7.93,341e3,Ida Technos Ord Shs,Tower Investment Management,buy
8589936329,2006-06-30T00:00:00Z,584200,292100,5.42,292100,Ajis Ord Shs,Tower Investment Management,buy
8589936329,2008-02-29T00:00:00Z,464800,232400,4.32,-59700,Ajis Ord Shs,Tower Investment Management,sell
8589938136,2006-12-31T00:00:00Z,1323e3,1323e3,6.25,1323e3,Daiichi Kensetsu Ord Shs,Tower Investment Management,buy
8589938136,2008-09-30T00:00:00Z,1101e3,1101e3,5.04,-222e3,Daiichi Kensetsu Ord Shs,Tower Investment Management,sell
8589938136,2008-10-15T00:00:00Z,78e3,78e3,0.36,-1023e3,Daiichi Kensetsu Ord Shs,Tower Investment Management,sell
8589938475,2007-10-15T00:00:00Z,738900,738900,5.83,738900,Meiho Facility Works Ord Shs,Tower Investment Management,buy
8589938475,2009-07-15T00:00:00Z,880100,880100,6.92,141200,Meiho Facility Works Ord Shs,Tower Investment Management,buy
8589938475,2010-06-15T00:00:00Z,1760200,1760200,13.84,0,Meiho Facility Works Ord Shs,Tower Investment Management,hold
8589938475,2013-01-15T00:00:00Z,1162600,1162600,9.14,-597600,Meiho Facility Works Ord Shs,Tower Investment Management,sell
8589938912,2008-05-15T00:00:00Z,502e3,502e3,5.02,502e3,Soda Aromatic Ord Shs,Tower Investment Management,buy
8589938912,2010-06-15T00:00:00Z,1004e3,1004e3,10.04,0,Soda Aromatic Ord Shs,Tower Investment Management,hold
8589939114,2008-01-31T00:00:00Z,2186,2186,5.33,2186,People Staff Ord Shs,Tower Investment Management,buy
8589940727,2005-06-30T00:00:00Z,1365e3,1365e3,7.8,1365e3,Alinco Ord Shs,Tower Investment Management,buy
8589940727,2005-09-30T00:00:00Z,1688e3,1688e3,9.64,323e3,Alinco Ord Shs,Tower Investment Management,buy
8589940727,2008-09-15T00:00:00Z,874600,874600,4.48,-813400,Alinco Ord Shs,Tower Investment Management,sell
8589940900,2007-03-30T00:00:00Z,1761800,880900,5.47,880900,FJ Next Ord Shs,Tower Investment Management,buy
8589940900,2007-04-13T00:00:00Z,2088e3,1044e3,6.49,163100,FJ Next Ord Shs,Tower Investment Management,buy
8589940900,2007-05-15T00:00:00Z,2663e3,1331500,8.27,287500,FJ Next Ord Shs,Tower Investment Management,buy
8589940900,2007-06-29T00:00:00Z,3068800,1534400,9.53,202900,FJ Next Ord Shs,Tower Investment Management,buy
8589940900,2007-08-22T00:00:00Z,3401400,1700700,10.56,166300,FJ Next Ord Shs,Tower Investment Management,buy
8589940900,2007-09-18T00:00:00Z,3729600,1864800,11.58,164100,FJ Next Ord Shs,Tower Investment Management,buy
8589940900,2007-12-11T00:00:00Z,4049800,2024900,12.58,160100,FJ Next Ord Shs,Tower Investment Management,buy
8589940900,2008-09-18T00:00:00Z,3222400,1611200,10.01,-413700,FJ Next Ord Shs,Tower Investment Management,sell
8589940900,2008-12-12T00:00:00Z,2743600,1371800,8.52,-239400,FJ Next Ord Shs,Tower Investment Management,sell
8589940900,2009-05-15T00:00:00Z,2244e3,1122e3,6.97,-249800,FJ Next Ord Shs,Tower Investment Management,sell
8589940900,2010-06-15T00:00:00Z,4335600,2167800,13.46,-76200,FJ Next Ord Shs,Tower Investment Management,sell
8589940900,2012-12-31T00:00:00Z,2759600,1379800,8.58,-788e3,FJ Next Ord Shs,Tower Investment Management,sell
8589942981,2008-02-15T00:00:00Z,957600,1197,4.99,1197,Sanei Architecture Planning Ord Shs,Tower Investment Management,buy
8589942981,2010-06-15T00:00:00Z,1844800,461200,9.76,458806,Sanei Architecture Planning Ord Shs,Tower Investment Management,buy
8589945510,2008-10-31T00:00:00Z,1502e3,1502e3,4.95,1502e3,Yasuda Logistics Ord Shs,Tower Investment Management,buy
8589945634,2016-01-29T00:00:00Z,102700,1027e3,5.73,1027e3,Okano Valve Mfg Ord Shs,Tower Investment Management,buy
8589945634,2016-02-15T00:00:00Z,123600,1236e3,6.89,209e3,Okano Valve Mfg Ord Shs,Tower Investment Management,buy
8589945634,2016-03-15T00:00:00Z,146500,1465e3,8.17,229e3,Okano Valve Mfg Ord Shs,Tower Investment Management,buy
8589945634,2016-08-31T00:00:00Z,168700,1687e3,9.41,222e3,Okano Valve Mfg Ord Shs,Tower Investment Management,buy
8589945634,2017-01-20T00:00:00Z,188200,1882e3,10.5,195e3,Okano Valve Mfg Ord Shs,Tower Investment Management,buy
8589945889,2007-08-15T00:00:00Z,5624e3,28120,5.31,28120,Ichigo Ord Shs,Tower Investment Management,buy
8589945889,2007-08-31T00:00:00Z,6841e3,34205,6.45,6085,Ichigo Ord Shs,Tower Investment Management,buy
8589945889,2007-09-14T00:00:00Z,995e4,49750,9.39,15545,Ichigo Ord Shs,Tower Investment Management,buy
8589945889,2007-09-25T00:00:00Z,11335400,56677,10.69,6927,Ichigo Ord Shs,Tower Investment Management,buy
8589945889,2008-05-15T00:00:00Z,9968e3,49840,9.4,-6837,Ichigo Ord Shs,Tower Investment Management,sell
8589945889,2008-09-15T00:00:00Z,5623200,28116,3.71,-21724,Ichigo Ord Shs,Tower Investment Management,sell
8589946205,2006-05-11T00:00:00Z,7312300,7312300,16.02,7312300,Ryowa Life Ord Shs,Tower Investment Management,buy
8589946205,2006-05-12T00:00:00Z,9358400,9358400,20.51,2046100,Ryowa Life Ord Shs,Tower Investment Management,buy
8589946205,2006-05-16T00:00:00Z,10084800,10084800,22.1,726400,Ryowa Life Ord Shs,Tower Investment Management,buy
8589946205,2006-06-02T00:00:00Z,10551e3,10551e3,23.12,466200,Ryowa Life Ord Shs,Tower Investment Management,buy
8589946205,2006-07-11T00:00:00Z,11142500,11142500,24.42,591500,Ryowa Life Ord Shs,Tower Investment Management,buy
8589946205,2006-07-19T00:00:00Z,11849800,11849800,25.97,707300,Ryowa Life Ord Shs,Tower Investment Management,buy
8589946205,2006-09-14T00:00:00Z,12272800,12272800,26.88,423e3,Ryowa Life Ord Shs,Tower Investment Management,buy
8589946205,2006-09-19T00:00:00Z,12881100,12881100,28.21,608300,Ryowa Life Ord Shs,Tower Investment Management,buy
8589946205,2006-11-20T00:00:00Z,13512400,13512400,29.59,631300,Ryowa Life Ord Shs,Tower Investment Management,buy
8589946205,2006-12-28T00:00:00Z,14596e3,14596e3,31.89,1083600,Ryowa Life Ord Shs,Tower Investment Management,buy
8589946761,2005-06-30T00:00:00Z,45e4,45e4,6.24,45e4,Kawata Mfg Ord Shs,Tower Investment Management,buy
8589946761,2008-09-30T00:00:00Z,343e3,343e3,4.76,-107e3,Kawata Mfg Ord Shs,Tower Investment Management,sell
8589949159,2006-07-12T00:00:00Z,6451700,6451700,19.37,6451700,Fuji Corporation Limited Ord Shs,Tower Investment Management,buy
8589949159,2007-04-19T00:00:00Z,6450400,6450400,17.56,-1300,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell
8589949159,2007-05-01T00:00:00Z,5958100,5958100,16.22,-492300,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell
8589949159,2007-05-08T00:00:00Z,5257100,5257100,14.31,-701e3,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell
8589949159,2007-05-22T00:00:00Z,4739900,4739900,12.9,-517200,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell
8589949159,2007-08-23T00:00:00Z,4297e3,4297e3,11.69,-442900,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell
8589949159,2007-09-07T00:00:00Z,3907200,3907200,10.63,-389800,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell
8589949159,2007-10-24T00:00:00Z,3496600,3496600,9.51,-410600,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell
8589949159,2008-02-29T00:00:00Z,3060900,3060900,8.33,-435700,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell
8589949159,2008-08-29T00:00:00Z,2663800,2663800,7.24,-397100,Fuji Corporation Limited Ord Shs,Tower Investment Management,sell
8589949823,2006-09-30T00:00:00Z,985e3,985e3,9.19,985e3,Warehouse Ord Shs,Tower Investment Management,buy
8589949823,2007-04-27T00:00:00Z,876500,876500,8.17,-108500,Warehouse Ord Shs,Tower Investment Management,sell
8589949823,2007-06-15T00:00:00Z,753700,753700,7.03,-122800,Warehouse Ord Shs,Tower Investment Management,sell
8589950144,2010-02-26T00:00:00Z,604200,302100,5.04,302100,Hagihara Industries Ord Shs,Tower Investment Management,buy
8589950144,2010-06-15T00:00:00Z,1229600,614800,10.24,10600,Hagihara Industries Ord Shs,Tower Investment Management,buy
8589950959,2006-03-31T00:00:00Z,540900,540900,7.02,540900,PCA Ord Shs,Tower Investment Management,buy
8589952026,2006-12-31T00:00:00Z,55200,276e3,5.52,276e3,Fuji (Hyogo) Ord Shs,Tower Investment Management,buy
8589952026,2008-09-15T00:00:00Z,30800,154e3,3.08,-122e3,Fuji (Hyogo) Ord Shs,Tower Investment Management,sell
8589952182,2006-10-11T00:00:00Z,2033600,2033600,12.57,2033600,Tomen Electronics Ord Shs,Tower Investment Management,buy
8589953369,2007-05-15T00:00:00Z,928,928,5.16,928,Life Stage Ord Shs,Tower Investment Management,buy
8589953369,2007-06-15T00:00:00Z,1115,1115,6.19,187,Life Stage Ord Shs,Tower Investment Management,buy
8589953369,2008-08-29T00:00:00Z,239,239,1.33,-876,Life Stage Ord Shs,Tower Investment Management,sell
8589953907,2007-01-31T00:00:00Z,362e3,362e3,5.84,362e3,Okada Aiyon Ord Shs,Tower Investment Management,buy
8589953907,2007-02-15T00:00:00Z,288e3,288e3,4.65,-74e3,Okada Aiyon Ord Shs,Tower Investment Management,sell
8589954371,2005-03-31T00:00:00Z,76360,15272,4.88,15272,KK daVinci Ord Shs,Tower Investment Management,buy
8589954564,2006-12-31T00:00:00Z,918900,918900,8.92,918900,Sanyo Electric Logistics Ord Shs,Tower Investment Management,buy
8589954564,2007-01-29T00:00:00Z,1032100,1032100,10.02,113200,Sanyo Electric Logistics Ord Shs,Tower Investment Management,buy
8589954564,2007-04-04T00:00:00Z,1161400,1161400,11.28,129300,Sanyo Electric Logistics Ord Shs,Tower Investment Management,buy
8589954564,2007-08-20T00:00:00Z,1275300,1275300,12.38,113900,Sanyo Electric Logistics Ord Shs,Tower Investment Management,buy
8589954564,2007-11-02T00:00:00Z,1386e3,1386e3,13.46,110700,Sanyo Electric Logistics Ord Shs,Tower Investment Management,buy
8589954564,2008-01-28T00:00:00Z,1500700,1500700,14.57,114700,Sanyo Electric Logistics Ord Shs,Tower Investment Management,buy
8589954564,2008-02-06T00:00:00Z,1617400,1617400,15.7,116700,Sanyo Electric Logistics Ord Shs,Tower Investment Management,buy
8589954564,2008-04-28T00:00:00Z,1744e3,1744e3,16.93,126600,Sanyo Electric Logistics Ord Shs,Tower Investment Management,buy
8589955442,2006-06-30T00:00:00Z,657300,657300,5.9,657300,Kuriyama Holding Ord Shs,Tower Investment Management,buy
